регион,кол-во человек на 1 янв 22 года,площадь тер-рии,плотность населения на 1 янв 22 года,распределение дотаций,Сколько нужно выделять дотация для выравнивания бюджета,сколько нужно в деньгах всего,Процент людей за чертой бедности,прожиточный минимум (на 2022 год),средняя зп в месяц (2022)
Российская Федеpация,145557576,"17125,2","8,499613202","758580846,2",,,11,13919,"100,3"
Белгородская область,1531917,"27,1","56,52830258",0,"1929,98","2956569,172",7,11692,"99,4"
Брянская область,1168771,"34,9","33,4891404","14720203,7","8742,92","10218471,35",13,13127,"99,7"
Владимирская область,1323659,"29,1","45,48656357","6483626,1","3986,04","5276157,72","11,7",13501,100
Воронежская область,2287678,"52,2","43,82524904","8399080,2","2862,03","6547403,066","7,9",11832,"99,3"
Ивановская область,976918,"21,4","45,65037383","13740878,2","9477,41","9258652,422","12,9",12806,"96,8"
Калужская область,1012844,"29,8","33,98805369",0,0,0,"9,1",13363,"94,4"
Костромская область,620776,"60,2","10,31189369","3860524,7","5273,41","3273606,366",12,12860,"97,3"
Курская область,1083584,30,"36,11946667","3664697,2","3246,08","3517400,351","9,1",12110,"98,9"
Липецкая область,1113680,24,"46,40333333",0,"1685,66","1877285,829","8,2",11553,"101,4"
Московская область,7768878,"44,3","175,3697065",0,0,0,6,16223,"95,4"
Орловская область,714094,"24,7","28,91068826","6586684,5","6326,05","4517394,349","12,2",12945,"99,5"
Рязанская область,1085152,"39,6","27,40282828","4618840,1","3144,47","3412227,909","12,4",12388,"98,8"
Смоленская область,909856,"49,8","18,2702008",3698416,"3606,79","3281659,522","14,3",13363,"100,8"
Тамбовская область,980984,"34,5","28,43431884","10475224,3","8724,18","8558280,993","10,6",12210,"99,5"
Тверская область,1230190,"84,2","14,61033254","5015006,5","3009,72","3702527,447","10,8",13363,"98,9"
Тульская область,1432570,"25,7","55,74202335",0,"1462,57","2095233,905","9,8",13641,"102,5"
Ярославская область,1227383,"36,2","33,90560773",0,"450,13","552481,9098","8,9",13085,"100,1"
г. Москва,12635466,"2,6","4859,794615",0,0,0,"5,6",20585,"98,7"
Республика Карелия,603067,"180,5","3,341091413","8169922,9","11473,76","6919446,022","14,6",16614,"99,3"
Республика Коми,803477,"416,8","1,927727927","342202,7","346,83","278669,9279","15,5",16905,"99,9"
Архангельская область,1114322,"589,9","1,889001526","1016065,9","8021,84","8938912,792","12,5",14203,"96,9"
Ненецкий автономный округ,44540,"176,8","0,2519230769",0,0,0,"9,5",25419,99
Архангельская область без Ненецкого автономного округа,1069782,"413,1","2,589644154",0,,0,"11,8",16147,"96,5"
Вологодская область,1139499,"144,5","7,885806228",0,"3110,99","3544969,994","12,5",14059,"102,6"
Калининградская область,1027678,"15,1","68,0581457","2904069,4","1893,01","1945404,731","13,4",14337,"99,7"
Ленинградская область,1911586,"83,9","22,78410012",0,0,0,"8,1",14059,"101,4"
Мурманская область,724452,"144,9","4,999668737",0,"2492,01","1805341,629","9,3",22250,"99,4"
Новгородская область,586129,"54,5","10,75466055",0,"2021,15","1184654,628","13,1",13641,"102,9"
Псковская область,613356,"55,4","11,07140794","5153113,6","5687,02","3488167,839",,13780,97
г.Санкт-Петербург,5377503,"1,4","3841,073571",0,0,0,"5,1",14476,"100,1"
Республика Адыгея,468340,"7,8","60,04358974","4954645,4","7417,85","3474075,869","11,7",11970,"97,2"
Республика Калмыкия,267756,"74,7","3,584417671","3942395,9","13074,01","3500644,622","22,7",12945,"96,5"
Республика Крым,1896393,"26,1","72,65873563","22734481,8","9665,47","18329529,65","16,2",13501,"96,1"
Краснодарский край,5687378,"75,5","75,32950993","11781579,2","1591,83","9053338,922",10,13363,102
Астраханская область,989430,49,"20,19244898",2651248,"2280,97","2256860,147","15,5",13501,"99,7"
Волгоградская область,2449781,"112,9","21,69868025","10792107,2","3110,99","7621244,193","11,2",11970,"100,5"
Ростовская область,4153763,101,"41,12636634","16186488,5","3374,33","14016167,1",12,13085,"100,3"
г. Севастополь,522057,"0,9","580,0633333","3386927,2","5056,52","2639791,662","10,4",13919,"93,8"
Республика Дагестан,3153857,"50,3","62,70093439","80181662,5","17232,65","54349313,83","14,7",12667,"95,8"
Республика Ингушетия,524058,"3,1","169,0509677","12299628,2","17986,41","9425922,052","29,7",13085,"88,2"
Кабардино-Балкарская Республика,870487,"12,5","69,63896","15425517,5","10686,51","9302468,03","18,2",14894,"98,6"
Карачаево-Черкесская Республика,464219,"14,3","32,46286713","11067868,2","17466,64","8108346,154","22,1",12667,"94,9"
Республика Северная Осетия-Алания,688124,8,"86,0155","11542131,7","11526,29","7931516,78","13,5",12528,"97,2"
